junction_id	cell_line	gene_name	kd_gene	A549_log2fc_local	A549_delta_cosi	HeLa_log2fc_local	HeLa_delta_cosi	spearman_r_gtex	KD_split_reads	KD_retention_reads	KD_ctrl_split_reads	KD_ctrl_retention_reads	KD_cosi	KD_ctrl_cosi	KD_delta_cosi	KD_tpm_mean	KD_ctrl_tpm_mean	KD_log2fc_expression	postar_peak	eclip_peak
chr10_49973142_49981189_+	both	TIMM23B-AGAP6	AGGF1	0.929	0.05	0.556	0.28	0.772	9	0	69	161	1	0.462	0.538	0.692	2.473	-1.836	>=500nt	>=500nt
chr10_49973142_49981189_+	both	TIMM23B-AGAP6	ASCC1	0.929	0.05	0.556	0.28	0.753	8	136	0	182	0.105	0	0.105	1.018	1.366	-0.425	>=500nt	>=500nt
chr10_49973142_49981189_+	both	TIMM23B-AGAP6	DDX3X	0.929	0.05	0.556	0.28	0.779	12	161	0	182	0.13	0	0.13	1.133	1.366	-0.27	>=500nt	>=500nt
chr10_49973142_49981189_+	both	TIMM23B-AGAP6	DDX52	0.929	0.05	0.556	0.28	0.793	41	0	27	87	1	0.383	0.617	1.602	1.912	-0.255	>=500nt	>=500nt
chr10_49973142_49981189_+	both	TIMM23B-AGAP6	DDX55	0.929	0.05	0.556	0.28	0.902	35	119	23	98	0.37	0.319	0.051	1.165	1.353	-0.215	>=500nt	>=500nt
chr10_49973142_49981189_+	both	TIMM23B-AGAP6	DDX6	0.929	0.05	0.556	0.28	0.826	14	0	0	182	1	0	1	0.943	1.366	-0.536	inside_the_intron	>=500nt
chr10_49973142_49981189_+	both	TIMM23B-AGAP6	DNAJC2	0.929	0.05	0.556	0.28	0.882	33	0	23	59	1	0.438	0.562	1.039	1.244	-0.259	>=500nt	>=500nt
chr10_49973142_49981189_+	both	TIMM23B-AGAP6	DNAJC21	0.929	0.05	0.556	0.28	0.758	23	47	23	59	0.495	0.438	0.057	0.777	1.244	-0.678	>=500nt	>=500nt
chr10_49973142_49981189_+	both	TIMM23B-AGAP6	EXOSC9	0.929	0.05	0.556	0.28	0.881	43	124	16	103	0.41	0.237	0.172	1.461	1.677	-0.199	>=500nt	>=500nt
chr10_49973142_49981189_+	both	TIMM23B-AGAP6	FIP1L1	0.929	0.05	0.556	0.28	0.837	60	77	50	89	0.609	0.529	0.08	0.663	1.293	-0.963	<=50nt	>=500nt
chr10_49973142_49981189_+	both	TIMM23B-AGAP6	HNRNPD	0.929	0.05	0.556	0.28	0.884	14	41	7	34	0.406	0.292	0.114	0.888	1.298	-0.547	>=500nt	>=500nt
